id,title,contaminante,nivel,value,fecha,year
420010826no2,Miguel Servet,no2,Razonablemente buena,76,26-08-2001,2001
420010826co,Miguel Servet,co,Buena,1,26-08-2001,2001
520010826o3,Luis Vives,o3,Buena,43,26-08-2001,2001
320010826so2,El Paraninfo,so2,Buena,11,26-08-2001,2001
320010826o3,El Paraninfo,o3,Buena,30,26-08-2001,2001
420010827o3,Miguel Servet,o3,Buena,13,27-08-2001,2001
620010827no2,Avenida de Navarra,no2,Razonablemente buena,89,27-08-2001,2001
720010827co,Jaime Ferran,co,Buena,1,27-08-2001,2001
320010827so2,El Paraninfo,so2,Buena,27,27-08-2001,2001
320010827pm10,El Paraninfo,pm10,Regular,48,27-08-2001,2001
220010827pm10,Roger de Flor,pm10,Regular,50,27-08-2001,2001
220010827co,Roger de Flor,co,Buena,1,27-08-2001,2001
120010828co,El Picarral,co,Buena,1,28-08-2001,2001
620010828no2,Avenida de Navarra,no2,Regular,103,28-08-2001,2001
620010828o3,Avenida de Navarra,o3,Buena,29,28-08-2001,2001
320010828no2,El Paraninfo,no2,Razonablemente buena,69,28-08-2001,2001
320010828o3,El Paraninfo,o3,Buena,34,28-08-2001,2001
220010828pm10,Roger de Flor,pm10,Regular,43,28-08-2001,2001
220010828no2,Roger de Flor,no2,Razonablemente buena,59,28-08-2001,2001
420010829no2,Miguel Servet,no2,Razonablemente buena,79,29-08-2001,2001
420010829co,Miguel Servet,co,Buena,1,29-08-2001,2001
620010829o3,Avenida de Navarra,o3,Buena,33,29-08-2001,2001
220010829so2,Roger de Flor,so2,Buena,5,29-08-2001,2001
220010829co,Roger de Flor,co,Buena,1,29-08-2001,2001
620010830pm10,Avenida de Navarra,pm10,Desfavorable,73,30-08-2001,2001
120010830pm10,El Picarral,pm10,Razonablemente buena,39,30-08-2001,2001
120010830sh2,El Picarral,sh2,Buena,1,30-08-2001,2001
420010830no2,Miguel Servet,no2,Razonablemente buena,82,30-08-2001,2001
220010830pm10,Roger de Flor,pm10,Razonablemente buena,37,30-08-2001,2001
620010904co,Avenida de Navarra,co,Buena,1,04-09-2001,2001
120010904co,El Picarral,co,Buena,1,04-09-2001,2001
120010904o3,El Picarral,o3,Buena,36,04-09-2001,2001
120010903no2,El Picarral,no2,Razonablemente buena,72,03-09-2001,2001
120010902no2,El Picarral,no2,Razonablemente buena,42,02-09-2001,2001
120010902co,El Picarral,co,Buena,1,02-09-2001,2001
420010902co,Miguel Servet,co,Buena,1,02-09-2001,2001
420010902o3,Miguel Servet,o3,Buena,26,02-09-2001,2001
620010902pm10,Avenida de Navarra,pm10,Razonablemente buena,30,02-09-2001,2001
720010902pm10,Jaime Ferran,pm10,Regular,44,02-09-2001,2001
220010905no2,Roger de Flor,no2,Buena,22,05-09-2001,2001
520010905so2,Luis Vives,so2,Buena,7,05-09-2001,2001
520010905o3,Luis Vives,o3,Buena,28,05-09-2001,2001
120010905o3,El Picarral,o3,Buena,29,05-09-2001,2001
420010905so2,Miguel Servet,so2,Buena,6,05-09-2001,2001
420010905no2,Miguel Servet,no2,Razonablemente buena,71,05-09-2001,2001
220010906co,Roger de Flor,co,Buena,1,06-09-2001,2001
520010906co,Luis Vives,co,Buena,1,06-09-2001,2001
320010906no2,El Paraninfo,no2,Regular,99,06-09-2001,2001
120010909sh2,El Picarral,sh2,Buena,1,09-09-2001,2001
220010910so2,Roger de Flor,so2,Buena,5,10-09-2001,2001
220010910no2,Roger de Flor,no2,Razonablemente buena,42,10-09-2001,2001
620010910co,Avenida de Navarra,co,Buena,1,10-09-2001,2001
520010910pm10,Luis Vives,pm10,Razonablemente buena,22,10-09-2001,2001
320010910o3,El Paraninfo,o3,Buena,28,10-09-2001,2001
720010911no2,Jaime Ferran,no2,Razonablemente buena,64,11-09-2001,2001
720010911co,Jaime Ferran,co,Buena,1,11-09-2001,2001
120010911no2,El Picarral,no2,Razonablemente buena,42,11-09-2001,2001
120010911co,El Picarral,co,Buena,1,11-09-2001,2001
120010911sh2,El Picarral,sh2,Buena,1,11-09-2001,2001
420010911o3,Miguel Servet,o3,Buena,25,11-09-2001,2001
220010912o3,Roger de Flor,o3,Buena,33,12-09-2001,2001
620010912o3,Avenida de Navarra,o3,Buena,26,12-09-2001,2001
220010913so2,Roger de Flor,so2,Buena,9,13-09-2001,2001
220010913pm10,Roger de Flor,pm10,Desfavorable,55,13-09-2001,2001
720040416so2,Jaime Ferran,so2,Buena,7,16-04-2004,2004
720040416o3,Jaime Ferran,o3,Buena,21,16-04-2004,2004
220050416so2,Roger de Flor,so2,Buena,11,16-04-2005,2005
420050417co,Miguel Servet,co,"",0.6,17-04-2005,2005
820050417no2,Renovales,no2,Buena,20,17-04-2005,2005
220050417so2,Roger de Flor,so2,Buena,12,17-04-2005,2005
120050418co,El Picarral,co,Buena,1,18-04-2005,2005
420050418so2,Miguel Servet,so2,Buena,12,18-04-2005,2005
420050418pm10,Miguel Servet,pm10,Regular,43,18-04-2005,2005
220050418o3,Roger de Flor,o3,Buena,24,18-04-2005,2005
120050419o3,El Picarral,o3,Buena,23,19-04-2005,2005
320050419no2,El Paraninfo,no2,Razonablemente buena,81,19-04-2005,2005
620050420pm10,Avenida de Navarra,pm10,Razonablemente buena,38,20-04-2005,2005
220021023no2,Roger de Flor,no2,Buena,40,23-10-2002,2002
720021023no2,Jaime Ferran,no2,Buena,16,23-10-2002,2002
420021023no2,Miguel Servet,no2,Razonablemente buena,76,23-10-2002,2002
220021024pm10,Roger de Flor,pm10,Buena,16,24-10-2002,2002
220021024co,Roger de Flor,co,Razonablemente buena,1.6,24-10-2002,2002
620021024so2,Avenida de Navarra,so2,Buena,13,24-10-2002,2002
620021024no2,Avenida de Navarra,no2,Razonablemente buena,72,24-10-2002,2002
620021024o3,Avenida de Navarra,o3,Buena,5,24-10-2002,2002
120021024co,El Picarral,co,Buena,0.9,24-10-2002,2002
620021025co,Avenida de Navarra,co,Razonablemente buena,1.6,25-10-2002,2002
720021025pm10,Jaime Ferran,pm10,Regular,49,25-10-2002,2002
120021025no2,El Picarral,no2,Buena,9,25-10-2002,2002
120021025co,El Picarral,co,Buena,0.8,25-10-2002,2002
420021025pm10,Miguel Servet,pm10,Desfavorable,51,25-10-2002,2002
420021025o3,Miguel Servet,o3,Buena,9,25-10-2002,2002
320021025pm10,El Paraninfo,pm10,Regular,41,25-10-2002,2002
620021026so2,Avenida de Navarra,so2,Buena,8,26-10-2002,2002
120021026co,El Picarral,co,Buena,0.7,26-10-2002,2002
420021026no2,Miguel Servet,no2,Razonablemente buena,70,26-10-2002,2002
220021027so2,Roger de Flor,so2,Buena,11,27-10-2002,2002
620021027co,Avenida de Navarra,co,Buena,0.7,27-10-2002,2002
420021027so2,Miguel Servet,so2,Buena,21,27-10-2002,2002
420021027pm10,Miguel Servet,pm10,Razonablemente buena,24,27-10-2002,2002
620021028o3,Avenida de Navarra,o3,Buena,11,28-10-2002,2002
720021028o3,Jaime Ferran,o3,Buena,22,28-10-2002,2002
120021028pm10,El Picarral,pm10,Desfavorable,56,28-10-2002,2002
120021028no2,El Picarral,no2,Buena,10,28-10-2002,2002
120021028o3,El Picarral,o3,Buena,8,28-10-2002,2002
420021028so2,Miguel Servet,so2,Buena,28,28-10-2002,2002
420021028co,Miguel Servet,co,Razonablemente buena,1.3,28-10-2002,2002
320021028no2,El Paraninfo,no2,Razonablemente buena,69,28-10-2002,2002
220021029so2,Roger de Flor,so2,Buena,14,29-10-2002,2002
420021029so2,Miguel Servet,so2,Buena,25,29-10-2002,2002
420021029pm10,Miguel Servet,pm10,Desfavorable,68,29-10-2002,2002
720021030pm10,Jaime Ferran,pm10,Desfavorable,59,30-10-2002,2002
120021030o3,El Picarral,o3,Buena,7,30-10-2002,2002
420021030co,Miguel Servet,co,Razonablemente buena,1.5,30-10-2002,2002
220021031co,Roger de Flor,co,Buena,0.8,31-10-2002,2002
220021031o3,Roger de Flor,o3,Buena,23,31-10-2002,2002
620021031so2,Avenida de Navarra,so2,Buena,7,31-10-2002,2002
620021031pm10,Avenida de Navarra,pm10,Regular,46,31-10-2002,2002
620021031o3,Avenida de Navarra,o3,Buena,11,31-10-2002,2002
420021031pm10,Miguel Servet,pm10,Razonablemente buena,24,31-10-2002,2002
420021031co,Miguel Servet,co,Buena,0.8,31-10-2002,2002
420021031o3,Miguel Servet,o3,Buena,1,31-10-2002,2002
320021031co,El Paraninfo,co,Razonablemente buena,1.3,31-10-2002,2002
220021101so2,Roger de Flor,so2,Buena,13,01-11-2002,2002
220021101no2,Roger de Flor,no2,Buena,34,01-11-2002,2002
720021101so2,Jaime Ferran,so2,Buena,8,01-11-2002,2002
720021101co,Jaime Ferran,co,Buena,0.4,01-11-2002,2002
120021101sh2,El Picarral,sh2,Buena,6,01-11-2002,2002
620021102no2,Avenida de Navarra,no2,Razonablemente buena,63,02-11-2002,2002
620021102co,Avenida de Navarra,co,Razonablemente buena,1.3,02-11-2002,2002
220021103so2,Roger de Flor,so2,Buena,12,03-11-2002,2002
120021103sh2,El Picarral,sh2,Buena,5,03-11-2002,2002
220021104so2,Roger de Flor,so2,Buena,11,04-11-2002,2002
720021104so2,Jaime Ferran,so2,Buena,8,04-11-2002,2002
220021105co,Roger de Flor,co,Buena,0.7,05-11-2002,2002
220021105o3,Roger de Flor,o3,Buena,28,05-11-2002,2002
720021105o3,Jaime Ferran,o3,Buena,35,05-11-2002,2002
720021105sh2,Jaime Ferran,sh2,Buena,4,05-11-2002,2002
320021105co,El Paraninfo,co,Buena,1,05-11-2002,2002
220021106pm10,Roger de Flor,pm10,Buena,18,06-11-2002,2002
720021106no2,Jaime Ferran,no2,Buena,18,06-11-2002,2002
420021106o3,Miguel Servet,o3,Buena,12,06-11-2002,2002
420051006so2,Miguel Servet,so2,Buena,12,06-10-2005,2005
320051006co,El Paraninfo,co,Buena,0.8,06-10-2005,2005
820051006no2,Renovales,no2,Buena,40,06-10-2005,2005
820051006co,Renovales,co,Buena,0.7,06-10-2005,2005
620051007no2,Avenida de Navarra,no2,Regular,91,07-10-2005,2005
620051008o3,Avenida de Navarra,o3,Buena,7,08-10-2005,2005
820051008o3,Renovales,o3,Buena,29,08-10-2005,2005
620051009no2,Avenida de Navarra,no2,Regular,92,09-10-2005,2005
420051009so2,Miguel Servet,so2,Buena,14,09-10-2005,2005
420051009pm10,Miguel Servet,pm10,Desfavorable,85,09-10-2005,2005
420051010o3,Miguel Servet,o3,Buena,10,10-10-2005,2005
820051010co,Renovales,co,"",0.8,10-10-2005,2005
620051011no2,Avenida de Navarra,no2,Razonablemente buena,71,11-10-2005,2005
120051011pm10,El Picarral,pm10,Regular,47,11-10-2005,2005
420051011so2,Miguel Servet,so2,Buena,12,11-10-2005,2005
420051011o3,Miguel Servet,o3,Buena,14,11-10-2005,2005
320051011o3,El Paraninfo,o3,Buena,7,11-10-2005,2005
820051011no2,Renovales,no2,Razonablemente buena,42,11-10-2005,2005
820051011co,Renovales,co,Buena,0.7,11-10-2005,2005
220051011no2,Roger de Flor,no2,Razonablemente buena,56,11-10-2005,2005
120051012pm10,El Picarral,pm10,Razonablemente buena,29,12-10-2005,2005
120051012o3,El Picarral,o3,Buena,15,12-10-2005,2005
320051012o3,El Paraninfo,o3,Buena,7,12-10-2005,2005
820051012o3,Renovales,o3,Buena,30,12-10-2005,2005
620051013so2,Avenida de Navarra,so2,Buena,13,13-10-2005,2005
620051013pm10,Avenida de Navarra,pm10,Razonablemente buena,29,13-10-2005,2005
120051013co,El Picarral,co,Buena,0.5,13-10-2005,2005
320051013pm10,El Paraninfo,pm10,Buena,20,13-10-2005,2005
320051013o3,El Paraninfo,o3,Buena,5,13-10-2005,2005
820051013no2,Renovales,no2,Buena,29,13-10-2005,2005
620051014pm10,Avenida de Navarra,pm10,Regular,48,14-10-2005,2005
320051014so2,El Paraninfo,so2,Buena,9,14-10-2005,2005
820051014so2,Renovales,so2,Buena,7,14-10-2005,2005
820051014no2,Renovales,no2,Buena,35,14-10-2005,2005
820051014o3,Renovales,o3,Buena,17,14-10-2005,2005
120051015pm10,El Picarral,pm10,Razonablemente buena,36,15-10-2005,2005
120051015co,El Picarral,co,"",0.6,15-10-2005,2005
420051016so2,Miguel Servet,so2,Buena,11,16-10-2005,2005
820051016co,Renovales,co,"",0.8,16-10-2005,2005
220051016pm10,Roger de Flor,pm10,Razonablemente buena,27,16-10-2005,2005
120051017co,El Picarral,co,"",0.8,17-10-2005,2005
320051017so2,El Paraninfo,so2,Buena,11,17-10-2005,2005
420051018so2,Miguel Servet,so2,Buena,14,18-10-2005,2005
420051018pm10,Miguel Servet,pm10,Desfavorable,54,18-10-2005,2005
420051018co,Miguel Servet,co,Buena,1,18-10-2005,2005
620051019no2,Avenida de Navarra,no2,Razonablemente buena,70,19-10-2005,2005
120051019no2,El Picarral,no2,Buena,31,19-10-2005,2005
120051019co,El Picarral,co,"",0.7,19-10-2005,2005
120051019sh2,El Picarral,sh2,Razonablemente buena,16,19-10-2005,2005
320051019o3,El Paraninfo,o3,Buena,4,19-10-2005,2005
620021222no2,Avenida de Navarra,no2,Buena,39,22-12-2002,2002
720021222o3,Jaime Ferran,o3,Buena,10,22-12-2002,2002
120021222pm10,El Picarral,pm10,Razonablemente buena,36,22-12-2002,2002
120021222no2,El Picarral,no2,Buena,18,22-12-2002,2002
420021222no2,Miguel Servet,no2,Buena,40,22-12-2002,2002
320021222so2,El Paraninfo,so2,Buena,24,22-12-2002,2002
320021222pm10,El Paraninfo,pm10,Razonablemente buena,37,22-12-2002,2002
320021222co,El Paraninfo,co,Razonablemente buena,1.6,22-12-2002,2002
320021222o3,El Paraninfo,o3,Buena,5,22-12-2002,2002
220021223so2,Roger de Flor,so2,Buena,15,23-12-2002,2002
220021223co,Roger de Flor,co,Razonablemente buena,1.5,23-12-2002,2002
720021223co,Jaime Ferran,co,Buena,0.5,23-12-2002,2002
620021224o3,Avenida de Navarra,o3,Buena,5,24-12-2002,2002
720021224no2,Jaime Ferran,no2,Razonablemente buena,53,24-12-2002,2002
720021224co,Jaime Ferran,co,Buena,0.6,24-12-2002,2002
120021224no2,El Picarral,no2,Buena,24,24-12-2002,2002
420021224pm10,Miguel Servet,pm10,Regular,41,24-12-2002,2002
220021226so2,Roger de Flor,so2,Buena,18,26-12-2002,2002
620021226so2,Avenida de Navarra,so2,Buena,47,26-12-2002,2002
620021226pm10,Avenida de Navarra,pm10,Razonablemente buena,31,26-12-2002,2002
320021226pm10,El Paraninfo,pm10,Razonablemente buena,24,26-12-2002,2002
620021229pm10,Avenida de Navarra,pm10,Razonablemente buena,34,29-12-2002,2002
620021229no2,Avenida de Navarra,no2,Razonablemente buena,55,29-12-2002,2002
720021229so2,Jaime Ferran,so2,Buena,8,29-12-2002,2002
420021229pm10,Miguel Servet,pm10,Razonablemente buena,31,29-12-2002,2002
420021229co,Miguel Servet,co,Razonablemente buena,2.3,29-12-2002,2002
420021229o3,Miguel Servet,o3,Buena,13,29-12-2002,2002
320021229so2,El Paraninfo,so2,Buena,35,29-12-2002,2002
320021229o3,El Paraninfo,o3,Buena,8,29-12-2002,2002
220021228o3,Roger de Flor,o3,Buena,31,28-12-2002,2002
720021228pm10,Jaime Ferran,pm10,Buena,15,28-12-2002,2002
420021228so2,Miguel Servet,so2,Buena,35,28-12-2002,2002
420021228no2,Miguel Servet,no2,Razonablemente buena,56,28-12-2002,2002
420021228o3,Miguel Servet,o3,Buena,20,28-12-2002,2002
320021228pm10,El Paraninfo,pm10,Buena,16,28-12-2002,2002
620021227co,Avenida de Navarra,co,Buena,0.9,27-12-2002,2002
120021227pm10,El Picarral,pm10,Razonablemente buena,33,27-12-2002,2002
120021227co,El Picarral,co,Buena,0.6,27-12-2002,2002
120021227sh2,El Picarral,sh2,Buena,12,27-12-2002,2002
720030405so2,Jaime Ferran,so2,Buena,8,05-04-2003,2003
720030405no2,Jaime Ferran,no2,Buena,22,05-04-2003,2003
820030405pm10,Renovales,pm10,Buena,16,05-04-2003,2003
820030405o3,Renovales,o3,Razonablemente buena,51,05-04-2003,2003
420030405co,Miguel Servet,co,Buena,0.7,05-04-2003,2003
320030405so2,El Paraninfo,so2,Buena,19,05-04-2003,2003
320030405pm10,El Paraninfo,pm10,Razonablemente buena,24,05-04-2003,2003
220030406no2,Roger de Flor,no2,Buena,26,06-04-2003,2003
720030406pm10,Jaime Ferran,pm10,Desfavorable,67,06-04-2003,2003
720030406o3,Jaime Ferran,o3,Buena,43,06-04-2003,2003
820030406no2,Renovales,no2,Buena,14,06-04-2003,2003
820030406co,Renovales,co,Buena,0.4,06-04-2003,2003
420030406o3,Miguel Servet,o3,Buena,32,06-04-2003,2003
420010711so2,Miguel Servet,so2,Buena,7,11-07-2001,2001
420010711co,Miguel Servet,co,Buena,1,11-07-2001,2001
620010711o3,Avenida de Navarra,o3,Buena,26,11-07-2001,2001
520010712pm10,Luis Vives,pm10,Razonablemente buena,31,12-07-2001,2001
620010712so2,Avenida de Navarra,so2,Buena,12,12-07-2001,2001
320010712no2,El Paraninfo,no2,Regular,92,12-07-2001,2001
620010710o3,Avenida de Navarra,o3,Buena,22,10-07-2001,2001
720010710pm10,Jaime Ferran,pm10,Desfavorable,78,10-07-2001,2001
120010709pm10,El Picarral,pm10,Razonablemente buena,29,09-07-2001,2001
120010709o3,El Picarral,o3,Buena,19,09-07-2001,2001
520010709o3,Luis Vives,o3,Buena,28,09-07-2001,2001
620010709o3,Avenida de Navarra,o3,Buena,18,09-07-2001,2001
320010709no2,El Paraninfo,no2,Razonablemente buena,89,09-07-2001,2001
320010709co,El Paraninfo,co,Buena,1,09-07-2001,2001
220010709pm10,Roger de Flor,pm10,Razonablemente buena,30,09-07-2001,2001
220010709no2,Roger de Flor,no2,Razonablemente buena,50,09-07-2001,2001
220010709o3,Roger de Flor,o3,Buena,25,09-07-2001,2001
420010708pm10,Miguel Servet,pm10,Razonablemente buena,36,08-07-2001,2001
420010708no2,Miguel Servet,no2,Razonablemente buena,82,08-07-2001,2001
620010708so2,Avenida de Navarra,so2,Buena,11,08-07-2001,2001
620010708co,Avenida de Navarra,co,Buena,1,08-07-2001,2001
720010708sh2,Jaime Ferran,sh2,Buena,1,08-07-2001,2001
220010708so2,Roger de Flor,so2,Buena,7,08-07-2001,2001
120010705co,El Picarral,co,Buena,1,05-07-2001,2001
620010705pm10,Avenida de Navarra,pm10,Regular,42,05-07-2001,2001
620010705no2,Avenida de Navarra,no2,Regular,94,05-07-2001,2001
220010705co,Roger de Flor,co,Buena,1,05-07-2001,2001
420010705so2,Miguel Servet,so2,Buena,8,05-07-2001,2001
420010702pm10,Miguel Servet,pm10,Desfavorable,57,02-07-2001,2001
520010702pm10,Luis Vives,pm10,Razonablemente buena,40,02-07-2001,2001
720010702so2,Jaime Ferran,so2,Buena,12,02-07-2001,2001
120010703no2,El Picarral,no2,Razonablemente buena,67,03-07-2001,2001
520010703so2,Luis Vives,so2,Buena,9,03-07-2001,2001
520010703no2,Luis Vives,no2,Regular,110,03-07-2001,2001
620010703pm10,Avenida de Navarra,pm10,Desfavorable,78,03-07-2001,2001
620010703no2,Avenida de Navarra,no2,Desfavorable,127,03-07-2001,2001
220010703o3,Roger de Flor,o3,Buena,43,03-07-2001,2001
420010704so2,Miguel Servet,so2,Buena,6,04-07-2001,2001
720010704co,Jaime Ferran,co,Buena,1,04-07-2001,2001
720010704o3,Jaime Ferran,o3,Buena,25,04-07-2001,2001
220010704no2,Roger de Flor,no2,Razonablemente buena,45,04-07-2001,2001
520010701so2,Luis Vives,so2,Buena,7,01-07-2001,2001
620010701no2,Avenida de Navarra,no2,Razonablemente buena,72,01-07-2001,2001
220010701so2,Roger de Flor,so2,Buena,6,01-07-2001,2001
420010716co,Miguel Servet,co,Razonablemente buena,2,16-07-2001,2001
420010716o3,Miguel Servet,o3,Buena,20,16-07-2001,2001
320010716no2,El Paraninfo,no2,Razonablemente buena,76,16-07-2001,2001
320010716o3,El Paraninfo,o3,Buena,26,16-07-2001,2001
120010618co,El Picarral,co,Buena,1,18-06-2001,2001
620010618no2,Avenida de Navarra,no2,Razonablemente buena,80,18-06-2001,2001
620010618o3,Avenida de Navarra,o3,Buena,44,18-06-2001,2001
320010618co,El Paraninfo,co,Buena,1,18-06-2001,2001
320010618o3,El Paraninfo,o3,Buena,38,18-06-2001,2001
220010618pm10,Roger de Flor,pm10,Razonablemente buena,28,18-06-2001,2001
420010619co,Miguel Servet,co,Buena,1,19-06-2001,2001
520010619so2,Luis Vives,so2,Buena,7,19-06-2001,2001
520010619o3,Luis Vives,o3,Buena,45,19-06-2001,2001
320010619no2,El Paraninfo,no2,Desfavorable,135,19-06-2001,2001
120010620o3,El Picarral,o3,Buena,28,20-06-2001,2001
420010620so2,Miguel Servet,so2,Buena,22,20-06-2001,2001
420010620pm10,Miguel Servet,pm10,Desfavorable,56,20-06-2001,2001
620010620so2,Avenida de Navarra,so2,Buena,24,20-06-2001,2001
720010620so2,Jaime Ferran,so2,Buena,14,20-06-2001,2001
720010620pm10,Jaime Ferran,pm10,Desfavorable,58,20-06-2001,2001
220010620o3,Roger de Flor,o3,Buena,45,20-06-2001,2001
520010621so2,Luis Vives,so2,Buena,10,21-06-2001,2001
220010621so2,Roger de Flor,so2,Buena,12,21-06-2001,2001
420010624pm10,Miguel Servet,pm10,Razonablemente buena,35,24-06-2001,2001
420010624o3,Miguel Servet,o3,Buena,50,24-06-2001,2001
120010717pm10,El Picarral,pm10,Razonablemente buena,34,17-07-2001,2001
120010717sh2,El Picarral,sh2,Buena,12,17-07-2001,2001
620010717so2,Avenida de Navarra,so2,Buena,17,17-07-2001,2001
620010717pm10,Avenida de Navarra,pm10,Desfavorable,55,17-07-2001,2001
220010717pm10,Roger de Flor,pm10,Razonablemente buena,29,17-07-2001,2001
220010717no2,Roger de Flor,no2,Razonablemente buena,67,17-07-2001,2001
120040803pm10,El Picarral,pm10,Razonablemente buena,39,03-08-2004,2004
120040803o3,El Picarral,o3,Buena,29,03-08-2004,2004
720040803so2,Jaime Ferran,so2,Buena,5,03-08-2004,2004
720040803sh2,Jaime Ferran,sh2,Buena,3,03-08-2004,2004
320040803pm10,El Paraninfo,pm10,Razonablemente buena,39,03-08-2004,2004
820040803so2,Renovales,so2,Buena,7,03-08-2004,2004
820040803co,Renovales,co,"",0.5,03-08-2004,2004
620040804co,Avenida de Navarra,co,Buena,1,04-08-2004,2004
120040804o3,El Picarral,o3,Buena,27,04-08-2004,2004
420040804pm10,Miguel Servet,pm10,Razonablemente buena,29,04-08-2004,2004
420040804co,Miguel Servet,co,"",0.6,04-08-2004,2004
420040804o3,Miguel Servet,o3,Buena,17,04-08-2004,2004
120060906o3,El Picarral,o3,Buena,10,06-09-2006,2006
120060906sh2,El Picarral,sh2,Razonablemente buena,23,06-09-2006,2006
620060911pm10,Avenida de Navarra,pm10,Desfavorable,59,11-09-2006,2006
120060911co,El Picarral,co,Buena,0.3,11-09-2006,2006
120060911o3,El Picarral,o3,Buena,15,11-09-2006,2006
920060911no2,Las Fuentes,no2,Buena,27,11-09-2006,2006
320060911pm10,El Paraninfo,pm10,Razonablemente buena,37,11-09-2006,2006
120060913sh2,El Picarral,sh2,Buena,6,13-09-2006,2006
320060913no2,El Paraninfo,no2,Razonablemente buena,60,13-09-2006,2006
820060913pm10,Renovales,pm10,Razonablemente buena,33,13-09-2006,2006
820060913o3,Renovales,o3,Buena,16,13-09-2006,2006
220060913so2,Roger de Flor,so2,Buena,2,13-09-2006,2006
720010913no2,Jaime Ferran,no2,Razonablemente buena,83,13-09-2001,2001
720010913o3,Jaime Ferran,o3,Buena,38,13-09-2001,2001
520010913pm10,Luis Vives,pm10,Razonablemente buena,39,13-09-2001,2001
220010916co,Roger de Flor,co,Buena,1,16-09-2001,2001
720010916so2,Jaime Ferran,so2,Buena,5,16-09-2001,2001
720010916o3,Jaime Ferran,o3,Razonablemente buena,55,16-09-2001,2001
120010916no2,El Picarral,no2,Buena,10,16-09-2001,2001
620010917so2,Avenida de Navarra,so2,Buena,4,17-09-2001,2001
620010917o3,Avenida de Navarra,o3,Buena,37,17-09-2001,2001
520010917so2,Luis Vives,so2,Buena,7,17-09-2001,2001
520010917co,Luis Vives,co,Buena,1,17-09-2001,2001
120010917no2,El Picarral,no2,Buena,7,17-09-2001,2001
120010917co,El Picarral,co,Buena,1,17-09-2001,2001
120010917o3,El Picarral,o3,Buena,34,17-09-2001,2001
320010917co,El Paraninfo,co,Buena,1,17-09-2001,2001
720010919no2,Jaime Ferran,no2,Razonablemente buena,66,19-09-2001,2001
120010919pm10,El Picarral,pm10,Regular,41,19-09-2001,2001
120010919no2,El Picarral,no2,Buena,29,19-09-2001,2001
120010919sh2,El Picarral,sh2,Buena,6,19-09-2001,2001
420010919pm10,Miguel Servet,pm10,Desfavorable,62,19-09-2001,2001
420010919no2,Miguel Servet,no2,Regular,114,19-09-2001,2001
420010919co,Miguel Servet,co,Buena,1,19-09-2001,2001
220010920co,Roger de Flor,co,Buena,1,20-09-2001,2001
420010920pm10,Miguel Servet,pm10,Desfavorable,83,20-09-2001,2001
420010920no2,Miguel Servet,no2,Desfavorable,133,20-09-2001,2001
220010923pm10,Roger de Flor,pm10,Buena,6,23-09-2001,2001
220010923no2,Roger de Flor,no2,Buena,38,23-09-2001,2001
720010923pm10,Jaime Ferran,pm10,Desfavorable,78,23-09-2001,2001
520010923pm10,Luis Vives,pm10,Buena,18,23-09-2001,2001
520010923no2,Luis Vives,no2,Razonablemente buena,51,23-09-2001,2001
520010923co,Luis Vives,co,Buena,1,23-09-2001,2001
120010923o3,El Picarral,o3,Buena,17,23-09-2001,2001
420010923so2,Miguel Servet,so2,Buena,6,23-09-2001,2001
420010923no2,Miguel Servet,no2,Razonablemente buena,65,23-09-2001,2001
420010923o3,Miguel Servet,o3,Buena,18,23-09-2001,2001
220010924so2,Roger de Flor,so2,Buena,5,24-09-2001,2001
220010924pm10,Roger de Flor,pm10,Buena,11,24-09-2001,2001
120050611co,El Picarral,co,Buena,0.4,11-06-2005,2005
120050611o3,El Picarral,o3,Buena,49,11-06-2005,2005
720050611sh2,Jaime Ferran,sh2,Buena,5,11-06-2005,2005
320050611pm10,El Paraninfo,pm10,Razonablemente buena,22,11-06-2005,2005
720050612co,Jaime Ferran,co,Buena,0.5,12-06-2005,2005
720050612o3,Jaime Ferran,o3,Razonablemente buena,56,12-06-2005,2005
420050612no2,Miguel Servet,no2,Razonablemente buena,53,12-06-2005,2005
820050612no2,Renovales,no2,Buena,28,12-06-2005,2005
820050612co,Renovales,co,Buena,0.4,12-06-2005,2005
820050612o3,Renovales,o3,Razonablemente buena,56,12-06-2005,2005
120050613pm10,El Picarral,pm10,Desfavorable,67,13-06-2005,2005
120050613sh2,El Picarral,sh2,Razonablemente buena,24,13-06-2005,2005
820050613so2,Renovales,so2,Buena,9,13-06-2005,2005
820050613pm10,Renovales,pm10,Razonablemente buena,28,13-06-2005,2005
120041014no2,El Picarral,no2,Razonablemente buena,55,14-10-2004,2004
720041014pm10,Jaime Ferran,pm10,Regular,41,14-10-2004,2004
820041014pm10,Renovales,pm10,Razonablemente buena,30,14-10-2004,2004
120041015pm10,El Picarral,pm10,Razonablemente buena,28,15-10-2004,2004
320041015no2,El Paraninfo,no2,Razonablemente buena,69,15-10-2004,2004
220041015co,Roger de Flor,co,"",0.6,15-10-2004,2004
720041016no2,Jaime Ferran,no2,Buena,39,16-10-2004,2004
320041016no2,El Paraninfo,no2,Razonablemente buena,54,16-10-2004,2004
620041017co,Avenida de Navarra,co,"",1.2,17-10-2004,2004
720041017so2,Jaime Ferran,so2,Buena,6,17-10-2004,2004
720041017pm10,Jaime Ferran,pm10,Razonablemente buena,36,17-10-2004,2004
